ID_node;Longitude;Latitude;name
270;110.82;-6.838;Jawa Tengah
272;111.052;-6.767;Jawa Tengah
273;110.714;-6.638;Jawa Tengah
274;110.741;-6.45;Jawa Tengah
275;108.344;-6.479;Jawa Barat
277;107.391;-6.52;Jawa Barat
278;107.418;-6.428;Jawa Barat
280;109.026;-7.282;Jawa Tengah
281;109.089;-7.091;Jawa Tengah
285;109.257;-7.434;Jawa Tengah
287;110.263;-6.967;Jawa Tengah
288;110.07;-6.98;Jawa Tengah
291;110.365;-6.987;Jawa Tengah
292;110.345;-6.986;Jawa Tengah
294;107.343;-6.387;Jawa Barat
298;107.425;-6.404;Jawa Barat
299;109.005;-7.695;Jawa Tengah
301;110.393;-7.739;Daerah Istimewa Yogyakarta
302;110.318;-7.756;Daerah Istimewa Yogyakarta
306;110.899;-7.088;Jawa Tengah
307;107.489;-6.84;Jawa Barat
309;106.892;-6.957;Jawa Barat
311;108.486;-6.818;Jawa Barat
314;108.54;-6.737;Jawa Barat
317;109.388;-7.443;Jawa Tengah
319;109.608;-7.396;Jawa Tengah
320;109.389;-7.443;Jawa Tengah
321;110.41;-7.097;Jawa Tengah
322;110.411;-7.158;Jawa Tengah
323;107.421;-7.182;Jawa Barat
325;110.513;-7.037;Jawa Tengah
327;110.997;-7.934;Jawa Tengah
328;110.949;-7.804;Jawa Tengah
329;110.881;-7.561;Jawa Tengah
331;111.041;-8.078;Jawa Timur
333;110.441;-6.993;Jawa Tengah
336;110.427;-7.05;Jawa Tengah
338;110.432;-6.951;Jawa Tengah
341;109.026;-7.689;Jawa Tengah
342;109.088;-7.686;Jawa Tengah
343;107.35;-6.672;Jawa Barat
346;107.553;-6.881;Jawa Barat
347;110.709;-7.677;Jawa Tengah
354;110.765;-7.623;Jawa Tengah
356;109.385;-6.914;Jawa Tengah
360;107.001;-6.253;Jawa Barat
361;106.545;-7.022;Jawa Barat
367;109.727;-7.734;Jawa Tengah
370;109.779;-7.611;Jawa Tengah
371;107.782;-6.951;Jawa Barat
372;108.542;-6.738;Jawa Barat
383;110.804;-7.614;Jawa Tengah
385;106.648;-6.742;Jawa Barat
386;106.673;-6.741;Jawa Barat
389;111.476;-6.637;Jawa Tengah
392;111.346;-6.722;Jawa Tengah
400;110.405;-6.992;Jawa Tengah
402;110.538;-6.928;Jawa Tengah
405;108.235;-7.401;Jawa Barat
406;108.126;-7.635;Jawa Barat
408;108.363;-7.336;Jawa Barat
412;110.482;-7.245;Jawa Tengah
415;112.096;-7.614;Jawa Timur
416;112.098;-7.615;Jawa Timur
422;110.134;-7.279;Jawa Tengah
431;107.626;-7.196;Jawa Barat
438;107.769;-7.036;Jawa Barat
441;112.149;-7.125;Jawa Timur
442;112.145;-7.129;Jawa Timur
443;112.66;-7.167;Jawa Timur
444;112.637;-7.194;Jawa Timur
445;106.802;-6.559;Jawa Barat
446;106.814;-6.388;Jawa Barat
448;107.615;-6.982;Jawa Barat
449;104.577;-5.307;Lampung
450;104.574;-5.321;Lampung
457;111.577;-7.149;Jawa Tengah
458;111.398;-6.969;Jawa Tengah
461;110.338;-7.032;Jawa Tengah
465;110.33;-7.682;Daerah Istimewa Yogyakarta
468;110.93;-7.461;Jawa Tengah
489;107.207;-6.454;Jawa Barat
580;106.815;-6.388;Jawa Barat
636;110.84;-7.257;Jawa Tengah
647;111.457;-7.407;Jawa Timur
648;111.014;-7.413;Jawa Tengah
659;110.434;-7.22;Jawa Tengah
675;105.999;-5.982;Banten
676;105.996;-5.98;Banten
680;105.941;-6.034;Banten
717;105.962;-6.036;Banten
719;106.008;-6.002;Banten
731;107.109;-6.273;Jawa Barat
746;106.815;-6.41;Jawa Barat
761;112.674;-7.288;Jawa Timur
762;112.674;-7.281;Jawa Timur
778;106.068;-5.886;Banten
779;106.468;-6.205;Banten
780;106.498;-6.251;Banten
803;119.118;-2.492;Sulawesi Barat
804;119.147;-2.473;Sulawesi Barat
812;106.74;-6.273;Banten
813;106.984;-6.202;Jawa Barat
816;106.822;-6.236;Daerah Khusus Ibukota Jakarta
827;112.6;-7.369;Jawa Timur
828;112.618;-7.347;Jawa Timur
830;106.286;-6.128;Banten
836;106.656;-6.22;Banten
845;106.751;-6.124;Daerah Khusus Ibukota Jakarta
855;106.915;-6.146;Daerah Khusus Ibukota Jakarta
861;119.309;-2.078;Sulawesi Barat
872;108.787;-7.312;Jawa Tengah
893;103.979;1.074;Kepulauan Riau
894;103.964;1.095;Kepulauan Riau
923;107.609;-6.92;Jawa Barat
948;106.989;-6.159;Jawa Barat
957;108.133;-6.476;Jawa Barat
962;107.554;-6.899;Jawa Barat
969;106.864;-6.973;Jawa Barat
982;107.455;-6.568;Jawa Barat
987;117.293;-0.316;Kalimantan Timur
988;117.214;-0.524;Kalimantan Timur
1001;110.354;-7.802;Daerah Istimewa Yogyakarta
1005;112.772;-7.255;Jawa Timur
1006;112.773;-7.231;Jawa Timur
1022;111.461;-6.863;Jawa Tengah
1025;112.745;-7.21;Jawa Timur
1026;112.771;-7.229;Jawa Timur
1027;112.746;-7.341;Jawa Timur
1028;112.77;-7.292;Jawa Timur
1029;109.971;1.314;Kalimantan Barat
1030;109.497;0.907;Kalimantan Barat
1031;117.193;-0.583;Kalimantan Timur
1033;117.052;-0.382;Kalimantan Timur
1034;116.978;-0.456;Kalimantan Timur
1041;112.77;-7.291;Jawa Timur
1043;117.114;-0.502;Kalimantan Timur
1044;117.106;-0.547;Kalimantan Timur
1048;117.435;0.161;Kalimantan Timur
1049;108.985;0.316;Kalimantan Barat
1050;109.206;0.059;Kalimantan Barat
1052;112.708;-7.346;Jawa Timur
1053;108.988;0.927;Kalimantan Barat
1055;116.949;-1.238;Kalimantan Timur
1056;117.135;-0.987;Kalimantan Timur
1057;109.328;0;Kalimantan Barat
1060;109.381;-0.074;Kalimantan Barat
1061;109.497;0.906;Kalimantan Barat
1063;112.714;-7.256;Jawa Timur
1064;112.686;-7.257;Jawa Timur
1065;109.269;1.343;Kalimantan Barat
1069;112.688;-7.701;Jawa Timur
1070;112.728;-7.74;Jawa Timur
1071;115.126;-3.029;Kalimantan Selatan
1072;114.85;-3.466;Kalimantan Selatan
1073;115.295;-2.417;Kalimantan Selatan
1074;115.328;-2.684;Kalimantan Selatan
1076;115.45;-2.195;Kalimantan Selatan
1077;116.792;-1.166;Kalimantan Timur
1078;116.878;-1.149;Kalimantan Timur
1079;112.686;-7.256;Jawa Timur
1080;112.687;-7.258;Jawa Timur
1082;112.707;-7.347;Jawa Timur
1085;111.892;-6.819;Jawa Timur
1086;111.917;-6.865;Jawa Timur
1090;116.841;-1.262;Kalimantan Timur
1091;112.714;-7.228;Jawa Timur
1092;112.713;-7.254;Jawa Timur
1093;111.908;-6.861;Jawa Timur
1096;112.722;-7.209;Jawa Timur
1097;112.742;-7.211;Jawa Timur
