bus0,bus1,type,x,r,g,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,capital_cost,build_year,lifetime,length,carrier,terrain_factor,num_parallel,v_ang_min,v_ang_max,sub_network,x_pu,r_pu,g_pu,b_pu,x_pu_eff,r_pu_eff,s_nom_opt
Banten,Jawa Barat,,0.0,0.0,0.0,0.0,5358.0,False,0.0,inf,1.0,0.0,0,inf,159.5210214303258,,1.0,3.0,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daerah Istimewa Yogyakarta,Jawa Tengah,,0.0,0.0,0.0,0.0,3572.0,False,0.0,inf,1.0,0.0,0,inf,60.15956077638096,,1.0,2.0,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daerah Khusus Ibukota Jakarta,Jawa Barat,,0.0,0.0,0.0,0.0,7144.0,False,0.0,inf,1.0,0.0,0,inf,79.21667087160313,,1.0,4.0,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jawa Barat,Jawa Tengah,,0.0,0.0,0.0,0.0,7144.0,False,0.0,inf,1.0,0.0,0,inf,313.2138249015604,,1.0,4.0,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jawa Tengah,Jawa Timur,,0.0,0.0,0.0,0.0,5358.0,False,0.0,inf,1.0,0.0,0,inf,243.45978215498562,,1.0,3.0,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
