ID_line;voltage;Longitude;Latitude;node_start;node_end
222;150;110.263;-6.967;287;292
223;150;109.026;-7.689;240;341
224;150;109.088;-7.686;240;342
225;150;109.134;-7.581;240;248
226;150;106.857;-6.525;43;182
228;150;110.804;-7.614;329;383
229;150;106.648;-6.742;385;386
230;150;106.648;-6.742;181;385
231;150;111.052;-6.767;272;389
232;150;111.346;-6.722;389;392
233;150;108.54;-6.737;211;314
234;150;110.365;-6.987;291;336
235;150;110.432;-6.951;177;338
236;150;110.405;-6.992;338;400
237;150;110.432;-6.951;338;402
238;150;107.035;-6.284;110;176
239;150;108.126;-7.635;405;406
240;150;108.209;-7.353;238;408
241;150;107.669;-6.869;231;246
242;150;110.411;-7.158;322;412
243;150;110.411;-7.158;322;325
244;150;112.096;-7.614;415;416
245;150;109.769;-6.935;141;288
246;150;110.765;-7.623;328;354
247;150;109.897;-7.381;252;422
248;150;110.134;-7.279;204;422
249;150;109.608;-7.396;252;319
250;150;109.779;-7.611;252;370
251;150;110.765;-7.623;354;383
252;150;107.572;-7.057;179;431
253;150;107.626;-7.196;228;431
263;150;106.918;-6.187;13;56
272;150;107.769;-7.036;227;438
275;150;107.654;-6.937;180;246
284;150;112.145;-7.129;441;442
297;150;112.637;-7.194;443;444
299;150;106.802;-6.559;445;446
303;150;107.572;-7.057;179;448
304;150;104.574;-5.321;449;450
305;150;106.821;-6.594;181;182
307;150;107.782;-6.951;227;371
309;150;110.318;-7.756;163;302
310;150;111.398;-6.969;457;458
311;150;110.411;-7.158;177;322
312;150;110.338;-7.032;291;461
318;150;106.866;-6.111;123;127
319;150;110.229;-7.475;206;465
320;150;110.881;-7.561;329;468
321;150;109.897;-7.381;204;252
322;150;109.005;-7.695;299;341
323;150;110.411;-7.158;322;338
324;150;107.378;-6.374;184;278
325;150;109.088;-7.686;240;342
327;150;107.669;-6.869;231;246
329;150;107.572;-7.057;179;180
330;150;110.263;-6.967;287;292
332;150;107.592;-6.858;231;232
333;150;107.489;-6.84;232;307
334;150;107.161;-6.376;175;489
335;150;107.35;-6.672;209;343
336;150;107.731;-6.936;246;371
337;150;107.322;-6.375;105;294
342;150;110.435;-7.221;168;177
343;150;108.361;-7.333;189;207
347;150;107.572;-7.057;179;448
348;150;107.378;-6.374;184;298
349;150;106.983;-6.205;13;184
350;150;107.13;-6.294;185;186
351;150;111.398;-6.969;457;458
352;150;109.964;-7.751;164;196
353;150;109.001;-6.887;199;200
354;150;110.482;-7.245;201;412
355;150;110.506;-7.312;201;202
356;150;110.338;-7.032;291;461
357;150;109.662;-6.905;141;142
358;150;110.787;-7.554;166;243
359;150;107.097;-6.296;175;176
360;150;107.161;-6.376;171;175
361;150;106.766;-6.865;169;170
362;150;107.16;-6.369;175;194
363;150;108.614;-6.771;199;211
364;150;108.54;-6.737;211;314
365;150;107.572;-7.057;179;214
366;150;107.564;-6.915;214;215
367;150;107.739;-7.217;152;236
368;150;110.345;-6.986;291;292
369;150;107.739;-7.217;152;228
370;150;107.112;-6.801;214;217
371;150;107.499;-6.928;214;219
372;150;106.821;-6.594;170;181
373;150;106.914;-6.441;43;224
374;150;106.914;-6.441;43;153
375;150;107.784;-7.138;227;228
376;150;107.782;-6.951;227;371
377;150;107.769;-7.036;227;438
378;150;106.821;-6.594;181;217
379;150;107.728;-7.219;151;152
380;150;107.662;-6.335;257;258
381;150;107.13;-6.294;186;194
382;150;107.378;-6.374;184;261
383;150;107.662;-6.335;258;261
384;150;107.117;-6.286;4;186
385;150;110.229;-7.475;206;412
386;150;106.802;-6.559;445;580
387;150;110.07;-6.98;287;288
388;150;106.648;-6.742;385;386
389;150;108.486;-6.818;311;314
390;150;110.619;-7.538;166;202
391;150;107.239;-6.361;171;172
392;150;107.325;-6.362;162;188
393;150;110.513;-7.037;306;325
394;150;110.949;-7.804;327;328
395;150;110.816;-7.497;243;329
396;150;110.997;-7.934;327;331
397;150;110.41;-7.097;321;333
398;150;107.35;-6.672;307;343
399;150;106.891;-6.485;153;154
400;150;107.391;-6.52;277;307
401;150;107.489;-6.84;219;307
402;150;110.62;-7.712;168;347
403;150;110.393;-7.739;301;347
404;150;106.648;-6.742;169;385
405;150;110.709;-7.677;347;354
406;150;111.346;-6.722;389;392
407;150;109.128;-6.913;200;356
408;150;107.001;-6.253;110;360
409;150;107.271;-6.308;172;256
410;150;106.857;-6.525;43;182
411;150;106.545;-7.022;169;361
412;150;107.322;-6.375;105;106
413;150;107.421;-7.182;219;323
414;150;110.84;-7.257;306;636
415;150;109.51;-7.631;196;239
416;150;109.727;-7.734;196;367
417;150;107.731;-6.936;246;371
418;150;107.782;-6.951;371;372
419;150;110.804;-7.614;329;383
420;150;111.014;-7.413;647;648
421;150;111.014;-7.413;647;648
422;150;110.365;-6.987;291;336
423;150;107.035;-6.284;110;176
424;150;110.538;-6.928;270;402
425;150;108.126;-7.635;405;406
426;150;110.411;-7.158;322;659
427;150;110.411;-7.158;322;325
430;150;109.779;-7.611;252;370
431;150;110.765;-7.623;354;383
432;150;107.626;-7.196;228;431
453;150;106.545;-7.022;309;361
458;150;106.87;-6.109;7;8
459;150;106.866;-6.111;123;127
460;150;105.996;-5.98;675;676
461;150;106.791;-6.134;9;10
462;150;105.869;-6.15;100;680
463;150;105.94;-6.033;11;680
464;150;105.869;-6.15;11;100
465;150;105.94;-6.033;11;35
466;150;105.951;-6.025;12;35
467;150;106.443;-6.172;1;2
468;150;106.424;-6.2;1;6
469;150;106.835;-6.258;21;24
470;150;106.51;-6.26;25;26
471;150;106.474;-6.275;25;28
472;150;105.999;-5.982;39;675
473;150;106.344;-6.162;1;29
474;150;106.33;-6.179;29;32
475;150;106.523;-6.204;2;63
476;150;106.523;-6.204;2;34
477;150;105.985;-5.992;35;36
478;150;106.02;-5.989;35;38
479;150;106.02;-5.989;35;39
480;150;106.865;-6.422;43;44
481;150;105.962;-6.036;35;717
482;150;106.008;-6.002;35;719
483;150;105.962;-6.036;35;717
484;150;106.606;-6.156;47;48
485;150;106.641;-6.207;47;64
486;150;106.583;-6.214;63;64
487;150;106.794;-6.413;21;52
489;150;107.109;-6.273;4;731
490;150;106.726;-6.171;53;54
491;150;106.726;-6.171;53;58
492;150;106.659;-6.151;47;53
493;150;106.02;-5.989;35;61
494;150;106.791;-6.134;9;72
495;150;106.798;-6.239;73;74
496;150;106.794;-6.413;52;746
497;150;106.794;-6.413;52;746
498;150;106.825;-6.125;10;81
499;150;106.852;-6.14;81;127
500;150;105.828;-6.354;83;84
501;150;105.829;-6.392;83;88
502;150;106.6;-6.317;26;146
503;150;106.464;-6.06;48;89
504;150;112.674;-7.288;761;762
505;150;106.464;-6.06;89;92
506;150;106.726;-6.171;53;94
507;150;106.726;-6.171;53;93
514;150;106.571;-6.114;92;139
515;150;107.378;-6.374;184;278
516;150;106.659;-6.305;145;146
517;150;106.53;-6.183;34;139
518;150;106.032;-5.897;112;778
519;150;106.468;-6.205;779;780
520;150;106.001;-6.405;88;133
521;150;106.271;-6.365;50;133
522;150;106.328;-6.198;32;49
523;150;106.319;-6.205;49;132
524;150;106.328;-6.198;49;50
525;150;106.743;-6.253;58;130
526;150;106.782;-6.11;93;94
527;150;106.787;-6.111;9;93
528;150;105.828;-6.354;84;100
529;150;106.955;-6.243;66;110
530;150;106.918;-6.187;55;56
531;150;119.118;-2.492;803;804
532;150;106.88;-6.202;46;55
533;150;106.895;-6.13;55;123
534;150;106.523;-6.204;2;78
536;150;106.74;-6.273;58;812
537;150;106.918;-6.178;55;813
538;150;106.822;-6.236;24;816
539;150;106.822;-6.236;24;816
540;150;106.868;-6.262;21;22
541;150;106.88;-6.202;22;46
542;150;106.914;-6.441;43;65
543;150;106.672;-6.351;145;812
544;150;112.6;-7.369;827;828
545;150;106.183;-6.091;143;830
546;150;106.286;-6.128;29;830
547;150;105.996;-5.98;112;676
548;150;106.656;-6.22;78;836
549;150;106.523;-6.204;2;80
550;150;106.468;-6.205;779;780
551;150;106.424;-6.2;6;779
552;150;106.424;-6.2;6;779
553;150;106.751;-6.124;94;845
554;150;106.751;-6.124;94;845
555;150;106.726;-6.171;53;845
556;150;106.726;-6.171;53;845
557;150;106.812;-6.199;72;75
558;150;106.915;-6.146;55;855
559;150;106.896;-6.13;8;855
560;150;106.896;-6.13;8;125
561;150;119.147;-2.473;804;861
562;150;110.363;-7.839;163;198
563;150;109.779;-7.611;196;370
564;150;108.536;-7.386;189;190
566;150;110.709;-7.677;166;347
569;150;108.787;-7.312;240;872
570;150;110.229;-7.475;204;206
571;150;109.026;-7.282;280;285
572;150;107.913;-7.268;236;238
573;150;108.209;-7.353;238;408
574;150;110.363;-7.839;163;168
575;150;106.955;-6.118;13;14
576;150;110.9;-6.806;269;272
578;150;110.411;-7.158;322;412
579;150;107.391;-6.52;277;307
580;150;110.714;-6.638;273;274
581;150;103.964;1.095;893;894
584;150;108.344;-6.479;275;311
586;150;110.41;-7.097;321;322
587;150;109.769;-6.935;141;288
588;150;110.538;-6.928;270;402
589;150;109.385;-6.914;142;356
590;150;111.052;-6.767;272;389
591;150;107.494;-6.505;209;210
595;150;106.955;-6.243;66;108
596;150;110.765;-7.623;328;354
597;150;109.134;-7.581;240;248
598;150;110.432;-6.951;338;402
599;150;108.787;-7.312;240;872
600;150;109.026;-7.282;280;285
602;150;109.608;-7.396;252;319
603;150;107.609;-6.92;214;923
604;150;110.482;-7.245;201;412
605;150;110.84;-7.257;306;636
607;150;110.432;-6.951;177;338
608;150;110.411;-7.158;322;338
609;150;110.432;-6.951;333;338
611;150;110.82;-6.838;269;270
612;150;110.714;-6.638;270;273
613;150;110.82;-6.838;270;306
615;150;106.672;-6.351;130;145
616;150;106.672;-6.351;130;145
617;150;107.117;-6.286;3;4
620;150;106.896;-6.13;8;948
622;150;107.391;-6.52;277;278
623;150;108.209;-7.353;238;405
624;150;108.209;-7.353;238;405
625;150;110.427;-7.05;333;336
626;150;108.133;-6.476;275;957
627;150;107.945;-6.44;257;275
628;150;107.489;-6.84;307;962
629;150;107.553;-6.881;346;962
630;150;107.609;-6.92;214;923
631;150;106.766;-6.865;169;181
632;150;106.864;-6.973;309;969
633;150;106.545;-7.022;361;969
634;150;107.097;-6.296;176;731
635;150;107.097;-6.296;176;731
636;150;107.109;-6.273;4;731
637;150;107.272;-6.351;105;172
638;150;107.35;-6.672;343;982
639;150;107.455;-6.568;209;982
641;150;109.897;-7.381;234;252
642;150;117.214;-0.524;987;988
643;150;109.162;-7.539;240;319
644;150;109.088;-7.686;285;342
645;150;109.026;-7.689;248;341
646;150;109.026;-7.282;280;281
647;150;110.229;-7.475;206;412
648;150;110.229;-7.475;204;206
649;150;110.354;-7.802;163;1001
650;150;110.354;-7.802;163;1001
651;150;112.772;-7.255;1005;1006
652;150;110.229;-7.475;206;301
653;150;110.33;-7.682;301;465
654;150;110.881;-7.561;329;648
