ID_node;Longitude;Latitude;ID_line
965;112.688;-7.701;483
966;112.728;-7.74;483
967;115.126;-3.029;484
969;115.295;-2.417;485
970;115.328;-2.684;485
972;115.45;-2.195;486
973;116.792;-1.166;487
974;116.878;-1.149;487
975;112.686;-7.256;488
976;112.687;-7.258;488
978;112.707;-7.347;489
981;111.892;-6.819;491
982;111.917;-6.865;491
986;116.841;-1.262;493
987;117.389;2.838;494
988;117.389;2.836;494
990;117.384;2.833;495
991;117.363;2.843;496
992;117.363;2.842;496
996;117.363;2.844;498
997;117.376;2.852;499
998;117.373;2.845;499
1001;117.375;2.853;501
1004;117.375;2.855;502
1005;117.365;2.856;503
1006;117.364;2.852;503
1009;117.364;2.856;505
1013;117.392;2.851;507
1014;117.388;2.857;507
1018;117.387;2.865;509
1021;117.365;2.833;511
1022;117.363;2.833;511
1024;117.366;2.832;512
1025;117.364;2.835;513
1026;117.362;2.835;513
1029;117.366;2.836;515
1032;117.367;2.836;516
1033;117.381;2.838;517
1034;117.384;2.832;517
1035;117.38;2.839;518
1036;117.38;2.836;518
1040;117.385;2.838;520
1041;117.365;2.839;521
1042;117.362;2.839;521
1046;117.367;2.839;523
1047;117.373;2.841;524
1048;117.374;2.84;524
1050;117.375;2.841;525
1051;117.371;2.843;526
1053;117.373;2.844;527
1057;117.365;2.845;529
1063;117.368;2.846;532
1071;117.371;2.847;536
1074;117.37;2.847;537
1075;117.368;2.848;538
1079;117.372;2.848;540
1082;117.374;2.847;541
1083;117.37;2.849;542
1087;117.372;2.849;544
1090;117.376;2.847;545
1091;117.369;2.849;546
1096;117.365;2.848;548
1097;117.371;2.85;549
1101;117.37;2.85;551
1106;117.368;2.851;553
1107;117.373;2.851;554
1110;117.375;2.85;555
1111;117.373;2.852;556
1114;117.376;2.85;557
1115;117.374;2.853;558
1118;117.375;2.852;559
1119;117.372;2.854;560
1121;117.371;2.854;561
1123;117.649;4.122;562
1124;117.65;4.12;562
1126;117.653;4.126;563
1127;117.649;4.128;564
1129;117.64;4.133;565
1131;117.665;4.141;566
1132;117.667;4.138;566
1133;117.66;4.142;567
1136;117.659;4.142;568
1140;117.666;4.143;570
1142;117.658;4.144;571
1144;117.662;4.145;572
1145;112.714;-7.228;573
1146;112.713;-7.254;573
1147;124.287;-9.817;574
1148;123.88;-10.108;574
1149;117.577;2.683;575
1150;117.576;2.693;575
1151;117.5;2.711;576
1152;117.498;2.709;576
1154;117.507;2.712;577
1155;117.535;2.713;578
1156;117.539;2.71;578
1157;117.534;2.713;579
1159;117.536;2.715;580
1163;117.502;2.72;582
1168;117.636;2.732;584
1169;117.492;2.755;585
1170;117.494;2.755;585
1172;117.497;2.751;586
1173;117.477;2.755;587
1178;117.496;2.756;589
1180;117.499;2.756;590
1182;117.5;2.751;591
1184;117.501;2.756;592
1186;117.501;2.752;593
1188;117.503;2.756;594
1190;117.503;2.752;595
1192;117.505;2.753;596
1194;117.492;2.761;597
1196;117.501;2.762;598
1198;117.502;2.762;599
1200;117.494;2.762;600
1202;117.492;2.762;601
1204;117.497;2.762;602
1208;117.499;2.762;604
1213;117.475;2.766;607
1215;117.459;2.778;608
1216;117.447;2.761;608
1217;117.462;2.78;609
1220;117.463;2.781;610
1221;117.447;2.784;611
1223;117.445;2.784;612
1226;117.504;2.78;613
1227;117.444;2.785;614
1230;117.46;2.791;615
1231;117.407;2.806;616
1232;117.373;2.805;616
1234;117.407;2.803;617
1236;117.374;2.807;618
1237;117.409;2.807;619
1241;117.366;2.813;621
1242;117.365;2.811;621
1243;117.412;2.812;622
1244;117.412;2.813;622
1246;117.366;2.814;623
1247;117.411;2.815;624
1249;117.41;2.816;625
1256;117.411;2.817;628
1257;117.408;2.817;629
1258;117.397;2.815;629
1264;117.419;2.818;632
1266;117.418;2.818;633
1268;117.42;2.82;634
1274;117.421;2.821;637
1276;117.418;2.821;638
1277;117.422;2.821;639
1282;117.419;2.821;641
1284;117.423;2.821;642
1288;117.421;2.822;644
1290;117.419;2.822;645
1292;117.421;2.823;646
1294;117.418;2.823;647
1298;117.42;2.824;649
1300;117.418;2.824;650
1301;117.401;2.825;651
1302;117.403;2.827;651
1305;117.4;2.837;653
1306;117.399;2.836;653
1307;117.385;2.837;654
1308;117.385;2.831;654
1309;117.402;2.838;655
1314;117.384;2.838;657
1315;117.393;2.839;658
1318;117.399;2.839;659
1320;117.392;2.84;660
1321;117.4;2.842;661
1325;117.457;2.842;663
1326;117.456;2.84;663
1327;117.454;2.841;664
1328;117.455;2.843;664
1331;117.459;2.846;666
1334;117.457;2.847;667
1336;117.45;2.85;668
1338;117.452;2.851;669
1340;117.449;2.852;670
1342;117.419;2.853;671
1346;117.42;2.856;673
1347;117.626;4.086;674
1348;117.635;4.061;674
1350;117.629;4.085;675
1351;117.627;4.109;676
1354;117.623;4.109;677
1355;117.635;4.121;678
1358;117.631;4.121;679
1359;117.637;4.129;680
1360;117.639;4.129;680
1361;117.636;4.131;681
1362;117.635;4.132;681
1366;117.378;2.802;683
1368;117.346;2.806;684
1370;117.347;2.807;685
1372;117.347;2.806;686
1373;117.347;2.808;687
1375;117.346;2.808;688
1380;117.375;2.809;690
1381;117.347;2.81;691
1384;117.346;2.811;692
1388;117.345;2.811;694
1390;117.347;2.812;695
1394;117.364;2.814;697
1395;117.358;2.825;698
1396;117.358;2.816;698
1398;117.359;2.825;699
1401;117.357;2.827;701
1404;117.354;2.827;702
1405;117.379;2.829;703
1406;117.378;2.829;703
1408;117.371;2.815;704
1409;117.38;2.83;705
1412;117.368;2.83;706
1414;117.365;2.832;707
1417;117.356;2.832;709
1420;117.378;2.833;710
1423;117.343;2.833;712
1426;117.38;2.833;713
1428;117.344;2.835;714
1430;117.346;2.834;715
1432;117.355;2.835;716
1436;117.357;2.836;718
1440;117.346;2.836;720
1442;117.341;2.837;721
1443;117.3;2.753;722
1444;117.336;2.837;722
1448;117.334;2.843;724
1449;117.332;2.844;725
1451;117.35;2.845;726
1452;117.353;2.84;726
1454;117.35;2.846;727
1456;117.352;2.846;728
1460;117.333;2.876;730
1462;117.337;2.876;731
1463;117.34;2.881;732
1464;117.34;2.875;732
1465;117.342;2.934;733
1468;117.342;2.939;734
1470;117.347;2.949;735
1472;117.208;2.975;736
1473;117.216;3.002;737
1476;117.218;3.001;738
1477;117.212;3;736
1480;117.27;3.017;740
1482;117.271;3.021;741
1483;117.219;3.031;742
1488;117.212;3.05;744
1490;117.221;3.057;745
1491;117.241;3.069;746
1492;117.245;3.058;746
1494;117.243;3.068;747
1495;117.24;3.069;748
1498;117.213;3.07;749
1500;117.241;3.073;750
1504;117.215;3.088;752
1506;117.214;3.088;753
1508;117.23;3.098;754
1509;117.651;4.137;755
1510;117.651;4.135;755
1512;117.645;4.134;756
1513;117.652;4.14;757
1515;117.651;4.141;758
1517;117.65;4.142;759
1519;117.654;4.142;760
1521;117.655;4.143;761
1524;117.653;4.144;762
1528;117.64;4.134;764
1529;117.646;4.141;765
1530;117.643;4.141;765
1536;117.646;4.142;768
1539;117.649;4.141;770
1540;117.648;4.145;770
1541;117.749;4.108;771
1542;117.919;4.133;771
1543;117.916;4.054;772
1544;117.921;4.061;772
1545;117.802;4.082;773
1548;117.81;4.092;774
1549;117.774;4.093;775
1552;117.777;4.105;776
1554;117.781;4.105;777
1556;117.777;4.107;778
1557;117.758;4.11;779
1560;117.761;4.117;780
1562;117.919;4.125;781
1564;117.911;4.117;782
1567;117.711;4.156;784
1569;117.923;4.125;785
1570;117.923;4.127;785
1572;117.925;4.127;786
1574;117.924;4.13;787
1576;117.924;4.129;788
1578;117.922;4.135;789
1580;117.912;4.144;790
1582;117.914;4.145;791
1585;117.91;4.146;793
1588;117.91;4.147;794
1591;117.9;4.156;796
1592;117.902;4.154;796
1593;117.909;4.147;797
1594;117.903;4.157;797
1598;117.895;4.16;799
1600;117.883;4.15;800
1601;117.862;4.163;801
1602;117.862;4.159;801
1603;117.815;4.162;802
1604;117.783;4.158;802
1606;117.901;4.163;803
1608;117.845;4.164;804
1610;117.828;4.148;805
1616;117.858;4.166;808
1618;117.811;4.167;809
1619;117.541;3.661;810
1620;117.543;3.659;810
1621;117.538;3.666;811
1625;117.538;3.667;813
1627;117.541;3.668;814
1629;117.538;3.668;815
1633;117.533;3.668;817
1635;117.551;3.668;818
1636;117.552;3.67;818
1638;117.552;3.667;819
1639;117.549;3.669;820
1640;117.55;3.671;820
1643;117.548;3.67;822
1644;117.548;3.671;822
1647;117.546;3.671;824
1648;117.547;3.672;824
1651;117.528;3.672;826
1654;117.551;3.672;827
1655;117.526;3.672;828
1658;117.553;3.672;829
1662;117.549;3.672;831
1663;117.525;3.673;832
1665;117.544;3.673;833
1670;117.547;3.673;835
1671;117.527;3.673;836
1673;117.526;3.674;837
1676;117.528;3.676;838
1677;117.526;3.676;839
1681;117.542;3.682;841
1687;117.547;3.729;844
1690;117.547;3.725;845
1691;117.649;3.732;846
1692;117.646;3.711;846
1695;117.65;3.736;848
1698;117.651;3.736;849
1699;117.653;3.737;850
1702;117.654;3.736;851
1703;117.654;3.737;852
1705;117.535;3.764;853
1706;117.535;3.763;853
1707;117.537;3.764;854
1709;117.045;3.293;855
1710;117.045;3.291;855
1712;117.04;3.291;856
1714;117.045;3.295;857
1716;117.04;3.295;858
1717;117.064;3.296;859
1720;117.044;3.297;860
1721;117.064;3.299;861
1722;117.076;3.282;861
1724;117.063;3.299;862
1727;117.063;3.301;864
1729;117.077;3.305;865
1730;117.077;3.304;865
1732;117.078;3.305;866
1733;117.077;3.306;867
1735;117.069;3.307;868
1738;117.07;3.307;869
1742;117.079;3.308;871
1748;117.077;3.309;874
1749;117.069;3.317;875
1750;117.068;3.317;875
1753;117.068;3.318;877
1755;117.069;3.319;878
1756;117.07;3.316;878
1758;117.066;3.315;879
1760;117.07;3.32;880
1761;117.065;3.321;881
1762;117.065;3.32;881
1765;117.064;3.321;883
1767;117.065;3.322;884
1769;117.062;3.322;885
1772;117.062;3.323;886
1773;117.066;3.323;887
1776;117.068;3.322;888
1777;117.059;3.325;889
1779;117.06;3.326;890
1781;117.739;4.059;891
1782;117.726;4.044;891
1784;117.71;3.997;892
1785;117.725;4.065;893
1786;117.712;4.05;893
1789;117.726;4.069;895
1792;117.73;4.076;896
